	uniprot	flybase
654	A8JPQ1	FBgn0085382
655	P46223	FBgn0014026
656	M9PD73	FBgn0041180
657	M9PDF6	FBgn0041180
658	M9PDR0	FBgn0041180
659	Q9VIT9	FBgn0041180
660	Q09101	FBgn0010114
661	Q09101	FBgn0010114
662	Q09101	FBgn0010114
663	Q09101	FBgn0010114
664	Q8I0B7	FBgn0037339
665	Q01604	FBgn0250906
666	P08645	FBgn0004636
667	Q9VB10	FBgn0039537
668	A1Z8R6	FBgn0053145
669	Q7JZU2	FBgn0053145
670	Q9VT61	FBgn0027567
671	A0A0C4DHG5	FBgn0004587
672	P26686	FBgn0004587
673	P26686	FBgn0004587
674	P26686	FBgn0004587
675	P08120	FBgn0000299
676	Q9NDM2	FBgn0046687
677	X2JIG6	FBgn0046687
678	P45437	FBgn0008635
679	Q9VLM5	FBgn0263852
680	Q9VL70	FBgn0040064
681	Q9W1H8	FBgn0025352
682	Q9VT04	FBgn0036007
683	Q9W429	FBgn0029849
684	Q8SXQ1	FBgn0036857
685	Q9VI64	FBgn0037472
686	A0A0B4KGP4	FBgn0039089
687	A1ZA59	FBgn0053463
688	M9PE65	FBgn0262870
689	M9PE65	FBgn0262870
690	Q9VKW5	FBgn0032242
691	Q8MZI3	FBgn0035720
692	Q94523	FBgn0261439
693	P21914	FBgn0014028
694	P20432	FBgn0001149
695	A0A0B4K7E4	FBgn0016754
696	A0A0B4KHQ9	FBgn0016754
697	A0A0B4KHZ2	FBgn0016754
698	A0A0C4DHB2	FBgn0016754
699	A8JR92	FBgn0016754
700	A8JR93	FBgn0016754
701	Q7K172	FBgn0034176
702	P08570	FBgn0002593
703	P15348	FBgn0284220
704	P36241	FBgn0285950
705	Q24418	FBgn0010399
706	A0A4D6K506	FBgn0052451
707	A8JNX2	FBgn0052451
708	C1C5A0	FBgn0052451
709	M9PG15	FBgn0052451
710	Q7KTU2	FBgn0052451
711	Q8IPS6	FBgn0052451
712	Q9VNR2	FBgn0052451
713	Q9V4E1	FBgn0040324
714	Q9VND8	FBgn0041191
715	P05031	FBgn0000422
716	O97102	FBgn0264922
717	Q9V9Y0	FBgn0039844
718	Q9V496	FBgn0087002
719	Q94511	FBgn0017566
720	P48605	FBgn0015019
721	Q9VZW7	FBgn0035383
722	Q9VB46	FBgn0015737
723	O18335	FBgn0015790
724	Q8IQH0	FBgn0013997
725	Q9W259	FBgn0034723
726	Q9V9R3	FBgn0023416
727	Q9VUV9	FBgn0263599
728	Q9VP57	FBgn0259785
729	L0MLM5	FBgn0052850
730	Q8SX35	FBgn0052850
731	Q9VGP3	FBgn0037895
732	O61491	FBgn0024754
733	O61491	FBgn0024754
734	A1Z9M5	FBgn0050069
735	Q9VG82	FBgn0038037
736	M9PEV2	FBgn0035953
737	A8JTM7	FBgn0261260
738	A0A0B4K7Q6	FBgn0015513
739	A0A499GGQ3	FBgn0028875
740	Q7KT97	FBgn0028875
741	Q7KK90	FBgn0034335
742	Q27268	FBgn0014189
743	A0A0S0X7W8	FBgn0261444
744	P17133	FBgn0016978
745	Q9W2H4	FBgn0034623
746	Q9VAS7	FBgn0265274
747	A1Z8Q0	FBgn0033658
748	O62621	FBgn0025724
749	Q9VTF8	FBgn0036135
750	Q9V3L7	FBgn0027785
751	X2J6D4	FBgn0284248
752	Q9VZU7	FBgn0035402
753	Q9W303	FBgn0026415
754	A0A0B4JD26	FBgn0261854
755	A1Z9X0	FBgn0261854
756	A1Z9X0	FBgn0261854
757	Q9W495	FBgn0029789
758	Q9VN14	FBgn0037240
759	A1ZAX1	FBgn0034258
760	Q960D4	FBgn0025628
761	P38040	FBgn0004921
762	Q9VDH5	FBgn0038837
763	Q9V3Y2	FBgn0001977
764	P19889	FBgn0000100
765	Q9W2N0	FBgn0034577
766	Q9VV43	FBgn0266417
767	P02299	FBgn0001199
768	P02299	FBgn0051613
769	P02299	FBgn0053803
770	P02299	FBgn0053806
771	P02299	FBgn0053809
772	P02299	FBgn0053812
773	P02299	FBgn0053815
774	P02299	FBgn0053818
775	P02299	FBgn0053821
776	P02299	FBgn0053824
777	P02299	FBgn0053827
778	P02299	FBgn0053830
779	P02299	FBgn0053833
780	P02299	FBgn0053836
781	P02299	FBgn0053839
782	P02299	FBgn0053842
783	P02299	FBgn0053845
784	P02299	FBgn0053848
785	P02299	FBgn0053851
786	P02299	FBgn0053854
787	P02299	FBgn0053857
788	P02299	FBgn0053860
789	P02299	FBgn0053863
790	P02299	FBgn0053866
791	Q9VHC0	FBgn0037707
792	Q9VHY6	FBgn0037530
793	P17644	FBgn0000039
794	Q9VS29	FBgn0265296
795	Q9VS29	FBgn0265296
796	Q9VS29	FBgn0265296
797	Q7KSQ0	FBgn0037912
798	Q9V3T2	FBgn0040383
799	Q7KN62	FBgn0286784
800	B5X533	FBgn0030706
801	Q9VXM0	FBgn0030706
802	A0A0B4KF91	FBgn0267002
803	A0A126GUN3	FBgn0267002
804	A1ZAJ2	FBgn0267002
805	A1ZAJ2	FBgn0267002
806	Q95RA9	FBgn0038149
807	P27716	FBgn0004646
808	A0A0B4JD57	FBgn0287873
809	A0A0B4K7Q4	FBgn0287873
810	Q59E58	FBgn0287873
811	Q59E59	FBgn0287873
812	P02517	FBgn0001225
813	Q9V3Z4	FBgn0028690
814	Q0E940	FBgn0034237
815	A0A0B4LF49	FBgn0050021
816	A1Z8G0	FBgn0050021
817	B7YZF0	FBgn0050021
818	Q8T5S9	FBgn0050021
819	A8JV22	FBgn0030038
820	Q9W3F6	FBgn0030038
821	X2JEJ0	FBgn0030038
822	Q9W4P5	FBgn0285910
823	P23696	FBgn0004177
824	A1Z9M6	FBgn0033911
825	M9PFG7	FBgn0010235
826	P46824	FBgn0010235
827	P00399	FBgn0013674
828	Q9VL42	FBgn0265002
829	P55935	FBgn0010408
830	Q9W1B9	FBgn0034968
831	Q7PLV6	FBgn0058470
832	Q9VU68	FBgn0260049
833	Q9W0I6	FBgn0283500
834	Q0E8X7	FBgn0250838
835	Q8IMQ8	FBgn0039464
836	Q9VBA0	FBgn0039464
837	Q9VF87	FBgn0038320
838	Q8IPE8	FBgn0028479
