FBgn0037421	CG15594	Gene Expression
FBgn0037422	Osi13	Gene Expression
FBgn0040279	Osi14	Gene Expression
FBgn0037424	Osi15	Gene Expression
FBgn0051561	Osi16	Gene Expression
FBgn0267690	CG46026	Gene Expression
FBgn0051560	CG31560	Gene Expression
FBgn0037427	Osi17	Gene Expression
FBgn0037428	Osi18	Gene Expression
FBgn0037429	Osi19	Gene Expression
FBgn0037430	Osi20	Gene Expression
FBgn0037431	CG17917	Gene Expression
FBgn0037432	CG10298	Gene Expression
FBgn0037433	CG17919	Gene Expression
FBgn0261789	SmD2	Gene Expression
FBgn0037435	CG18048	Gene Expression
FBgn0037436	Hr83	Gene Expression
FBgn0267698	Pak	Gene Expression
FBgn0261641	CG42724	Gene Expression
FBgn0037439	CG10286	Gene Expression
FBgn0037440	CRAT	Gene Expression
FBgn0260766	CG42564	Gene Expression
FBgn0261006	snoRNA:83E4-5	Gene Expression
FBgn0027514	CG1024	Gene Expression
FBgn0260645	CG42537	Gene Expression
FBgn0010282	TfIIFalpha	Gene Expression
FBgn0037442	godzilla	Gene Expression
FBgn0037443	Dmtn	Gene Expression
FBgn0264495	gpp	Gene Expression
FBgn0264787	CR44017	Gene Expression
FBgn0037445	CG9727	Gene Expression
FBgn0283558	mir-9375	Gene Expression
FBgn0037446	Zif	Gene Expression
FBgn0037447	Neurochondrin	Gene Expression
FBgn0037448	CG15186	Gene Expression
FBgn0011919	tRNA:Met-CAT-1-5	Gene Expression
FBgn0037449	CG15185	Gene Expression
FBgn0053202	dpr11	Gene Expression
FBgn0046873	Pif2	Gene Expression
FBgn0267807	CR46132	Gene Expression
FBgn0037454	CG1137	Gene Expression
FBgn0037455	CG2336	Gene Expression
FBgn0267806	CR46131	Gene Expression
FBgn0037456	CG1138	Gene Expression
FBgn0051482	CG31482	Gene Expression
FBgn0250846	glob2	Gene Expression
FBgn0037460	sowi	Gene Expression
FBgn0037461	CG15177	Gene Expression
FBgn0037462	sunz	Gene Expression
FBgn0051286	CG31286	Gene Expression
FBgn0026565	CG1315	Gene Expression
FBgn0010355	Taf1	Gene Expression
FBgn0026566	CG1307	Gene Expression
FBgn0262801	twr	Gene Expression
FBgn0024912	agt	Gene Expression
FBgn0002522	lab	Gene Expression
FBgn0000552	Edg84A	Gene Expression
FBgn0004777	Ccp84Ag	Gene Expression
FBgn0004778	Ccp84Af	Gene Expression
FBgn0004779	Ccp84Ae	Gene Expression
FBgn0004780	Ccp84Ad	Gene Expression
FBgn0004781	Ccp84Ac	Gene Expression
FBgn0063127	pncr002:3R	Gene Expression
FBgn0004782	Ccp84Ab	Gene Expression
FBgn0004783	Ccp84Aa	Gene Expression
